Bosmina longirostris,Ceriodaphnia sp.,Diaphanosoma brachyurum,Leptodora kindtii,Acartia longiremis,Acartia tonsa,Eurytemora affinis,Cyclops sp.,Nauplii Cyclopoida,Nauplii Calanoida,Thermocyclops oithonoides,Eurytemora lacustris,Basin
0,0,0,0,2.071,0.9298,0.9251,0,0.0025,0.0257,0,0,0
0,0,0,0,0.5014,0.0378,0,0,0,0,0,0,0
0,0,0,0,0.0931,0,0,0.0093,0.0138,0.0006,0.0091,0,0
0,0,0,0,0,0,0.0129,0.006,0.014,0.0155,0.0179,0,0
0,0,0,0,0,0,0.0141,0,0.0093,0.0007,0.0166,0,0
0,0,0,0,0.0129,0,0.0145,0,0.0079,0.0009,0.0161,0,0
0,0,0,0,0.0101,0,0.0126,0,0.0178,0.0031,0,0,0
0,0,0,0,0,0,0.0062,0,0.0065,0.0092,0.0019,0,0
0,0,0,0,0.0385,0,0,0,0.0186,0.002,0,0,0
0,0,0,0,0.6266,0.8396,0.9683,0,0.0194,0.1187,0,0,0
0,0,0,0,3.0674,4.8824,1.769,0,0.028,0.0814,0,0,0
0,0,0,0.0013,0.0244,0.1044,0.0184,0.0036,0.0024,0.0027,0.0128,0,0
0,0,0,0,0.0062,0.1089,0,0.0153,0.0284,0.0047,0.0105,0,0
0,0,0,0,0.0222,0.2198,0,0.0145,0.0065,0.0155,0,0,0
0,0,0,0,0.0911,0.6978,0,0.0154,0.035,0.0282,0,0,0
0,0,0,0,0.0232,0.1456,0,0.0108,0.0053,0.0028,0,0,0
0,0,0,0,0.0057,0.1203,0,0.0138,0.023,0.0072,0.0102,0,0
0,0,0,0,0,0.245,0.0406,0.0064,0.0198,0.0186,0,0,0
0,0,18.827,0,0,0,25.022,0,0.0929,0.2521,0,0,0
0,0,4.356,0,1.7983,1.2629,2.3315,0,0.0086,0.1926,0,0,0
0,0,9.3458,0,2.3781,0.9661,2.002,0,0.025,0.169,0,0,0
0,0,16.8639,0,2.3626,0.6735,4.7329,0,0.0386,0.2074,0,0,0
0,0,0.382,0,0,0.0108,0.1889,0,0.008,0.0015,0,0.0126,0
0,0,0.3784,0,0.1075,0.023,0,0,0.0056,0.0019,0,0,0
0,0,0.4685,0,0,0.0534,0.1692,0.0661,0.0439,0.0196,0,0.0318,0
0,0,0.2906,0,0,0.0118,0.0815,0.0064,0.0068,0.0049,0,0.0036,0
0,0,1.5042,0,0,0.0363,0.201,0,0.0182,0.004,0,0.5849,0
0,0,1.3581,0,0,0,0.0556,0,0.0092,0.0127,0,0.6058,0
0,0,1.5406,0,0,0.074,0.1449,0,0.0033,0.0106,0,0.2625,0
0,0,0,0,2.5221,0.5114,10.2006,0,0.0149,0.0136,0,0,0
0,5.1941,0,0,3.8794,1.7159,9.1197,0,0.0099,0.0345,0,0,0
0,0,0.1149,0,0.1103,0.1785,0.1371,0,0,0.0119,0,0.1622,0
0,0,0.0336,0,0.0358,0.0493,0.03,0,0.0077,0,0,0.0621,0
0,0,0.0623,0,0.0244,0,0.0126,0,0.005,0.3201,0,0.0355,0
0,0,0.001,0,0.0642,0.0664,0.0716,0,0.0048,0.0011,0,0.194,0
0,0,0.6418,0,0.1862,0.056,0.2885,0,0.0313,0.0027,0,0.4997,0
0,0,0.376,0,0.2587,0.1085,0.1433,0,0.002,0.0013,0,0.4554,0
0,0,0.1462,0,0.0528,0.0736,0.0705,0,0.0043,0,0,0.1061,0
0,0,0,0,8.6925,2.763,20.8896,0,0.0224,0.3183,0,0,0
0,0,0,0,17.0945,4.247,24.2074,0,0.0696,0.7486,0,0,0
0,0,0.0172,0,0,0,0.0229,0,0.052,0.002,0.157,0,0
0,0,0,0,0.2933,0,0.0795,0.0499,0.038,0.0113,0.196,0,0
0,0,0,0,0.0518,0,0.2296,0.0444,0.34,0.0238,0.3721,0,0
0,0,0,0,0,0,0.003,0.1021,0.1135,0.0036,0.0727,0,0
0.0009,0,0,0,0.0179,0,0,0.0313,0.2475,0.0214,0.233,0,0
0,0,0,0,0.0158,0,0.0848,0,0.3123,0.0259,0.4592,0,0
0,0,0,0,0.102,0,0.5598,0,0.0999,0.0466,0.4454,0,0
0,0,0,0,0,0.6874,0.6598,0,0.0039,0.1801,0,0,0
0,0,0,0,0,0,0,0,0.0021,0.0512,0,0,0
0,0,0,0,0,0,0,0.0037,0.0086,0,0,0,0
0,0,0,0,0,0,0,0.014,0.0154,0,0,0,0
0,0,0,0,0,0,0,0.0077,0.0119,0,0,0,0
0,0,0,0,0,0,0,0.0363,0.0417,0,0,0,0
0,0,0,0.0042,0.0179,0,0,0,0.0254,0,0,0,0
0,0,0,0,0,0,0,0.0037,0.0057,0,0,0,0
0,0,0,0,0,0,0,0.0044,0.0179,0,0,0,0
0,0,0,0,0,0.2027,0,0,0.0045,0.0299,0,0,0
0,0,0,0,0.3286,0.8503,0,0,0.0038,0.0217,0,0,0
0,0,0,0,0.0258,0,0,0.0185,0,0.0004,0,0,0
0,0,0,0,0,0,0,0.0243,0.0041,0.0005,0,0,0
0,0,0,0,0,0.0167,0.0283,0.0089,0.0054,0.0017,0,0,0
0,0,0,0,0,0,0,0.0135,0.0045,0.001,0,0,0
0,0,0,0,0,0.0502,0,0.0192,0.0108,0,0,0,0
0,0,0,0,0,0,0,0.0128,0.0072,0.0008,0,0,0
0,0,0,0,0,0,0,0.0072,0.0007,0,0,0,0
0,0,0,0,3.251,1.0553,1.5059,0,0.0085,0.0452,0,0,0
0,0,0,0,0.8124,1.2404,3.9186,0,0.0178,0.2058,0,0,0
0,0,0,0,0.0146,0.0534,0,0.0516,0.0003,0.0836,0,0,0
0,0,0,0,0,0.0331,0.0443,0,0.0174,0.0037,0,0,0
0,0,0,0,0,0.0438,0.0046,0,0.006,0.0013,0,0,0
0,0,0,0,0,0.0418,0,0,0.0137,0.0057,0,0,0
0,0,0,0,0,0.0126,0,0,0.0075,0.0029,0,0,0
0,0,0,0,0,0.0145,0,0,0.0611,0.0114,0.0034,0,0
0,0,1.2371,0,0,0.7336,2.6244,0,0.0087,0.0975,0,0,0
0,0,0.1832,0,0,0.3396,1.8333,0,0.0043,0.0239,0,0,0
0,0,0,0,0,0,0,0,0.0095,0.0005,0.0338,0,0
0,0,0.0787,0,0,0,0.167,0.0143,0.0181,0.0019,0,0,0
0,0,0.0138,0,0,0,0.062,0,0.0026,0.0002,0.0464,0,0
0,0,0,0,0,0,0.004,0.014,0.0035,0,0.0155,0,0
0,0,0,0,0,0,0.0211,0.0085,0.0013,0.0005,0.0203,0,0
0,0,0,0,0,0.0084,0,0.0316,0.0034,0.0021,0.0569,0,0
0,0,0.0352,0,0,0.0416,0.0755,0,0.0053,0.0009,0.0318,0,0
0,0,0.0368,0,1.0435,0,2.1925,0,0.0035,0.045,0,0,0
0,0,0.0343,0,0.541,0,3.1215,0,0.0053,0.0971,0,0,0
0,0,0,0,0,0.0308,0,0.0235,0.0054,0,0.025,0,0
0,0,0.0379,0,0,0.027,0,0.0283,0.0036,0.0008,0,0,0
0,0,0,0,0,0.0216,0,0.0267,0.0164,0.0021,0,0,0
0,0,0,0,0,0.0158,0.0104,0.0159,0.0042,0.0006,0,0,0
0,0,0,0,0,0.0181,0.0301,0.0669,0.0034,0,0,0,0
0,0,0,0,0,0.0142,0.0193,0.0344,0.0189,0.0011,0,0,0
0,0,0,0,0.0539,0.0207,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0.4273,0.0459,0.0362,0,0,1
0,0,0,0,0,0,0,2.8985,0.0951,0,0,0,1
0,0,0,0,0,0,0.0039,0,0.0027,0.0028,0,0,1
0,0,0,0,0,0,0.0336,0,0.0136,0.0048,0.0118,0,1
0,0,0,0,0,0,0.014,0,0.0098,0.0007,0.0114,0,1
0,0,1.4737,0,4.9312,5.8227,1.379,0,0.0407,0.1763,0,0,1
0,0,0,0,0.6201,0,0.6945,11.0414,0.09,0.1005,0,0,1
0,0,0,0,1.5798,0,0,6.2014,0.0814,0.0679,0,0,1
0,0,0,0.0007,0.0466,0.1586,0,0.0089,0.0014,0.0012,0,0,1
0,0,0,0,0.0987,0.0003,0.0349,0,0.0394,0.0122,0,0,1
0,0,0,0,0.0138,0.3833,0,0.0147,0.0042,0.0024,0.024,0,1
0,0,6.0829,0,0.584,0.7916,3.2915,1.3444,0.1232,0.1298,0,0,1
0,0,19.2916,0,0.4142,0,0.3635,3.7957,0.4281,0.0768,0,0,1
0,0,10.3846,0,0.1347,0,7.1551,11.5796,0.0748,0.1169,0,0,1
0,0,20.1422,0,3.6364,2.5166,3.6417,1.8175,0.0714,0.4316,0,0,1
0,0,4.9807,0,1.3078,0,3.4523,3.982,0.2523,0.3029,0,0,1
0,0,24.4393,0,0,0,4.4381,18.35,0.1278,0.1216,0,0,1
0,0,0.6407,0,0,0.0043,0.0365,0,0.0485,0.0032,0.0579,0.0135,1
0,0,0.7653,0,0.0069,0.0251,0.4899,0,0.0077,0.0035,0,0,1
0,0,0.9729,0,0,0.0021,0.0665,0.0254,0.0053,0.0025,0,0.3201,1
0,0,1.2555,0,0,0.0016,0.0588,0.0626,0.0041,0.0026,0,0.2179,1
0,0,1.2788,0,0,0.0744,0.0002,0.0197,0.0013,0.001,0,0.0056,1
0,0,0.275,0,0,0,0.0314,0,0.0047,0.0072,0,0.0072,1
0,0,0.8153,0,0,0.0073,0.0375,0.0584,0.0045,0.0025,0,0.1807,1
0,1.7314,0,0,3.3497,0.3911,9.5913,0,0.021,0.0469,0,0,1
0,7.7912,3.0357,0,2.7053,0,13.2423,1.8827,0.064,0.0213,0,0,1
0,4.3284,5.3124,0,0.517,0,2.7024,2.8397,0.0299,0.0171,0,0,1
0,0,0.922,0,0,0.0074,0.1347,0.0469,0.0042,0.0036,0,0.2519,1
0,0,0.1228,0,0,0,0.227,0.0082,0.0007,0.0014,0,0.1397,1
0,0,0.11,0,0,0,0.0817,0.0421,0.0209,0.0031,0,0.0498,1
0,0,0,0,9.5395,0.7027,39.0016,1.0252,0.3284,0.6074,0,0,1
0,0,0,0,2.6149,0,17.2671,12.1196,0.5101,0.1443,0,0,1
0,0,0,0,2.8573,0,27.4746,19.2179,1.952,0.2208,0,0,1
0,0,0,0,3.6643,0,0.0745,0.0893,0.0708,0.0178,0,0.4187,1
0,0,0,0,0,0,0.0283,0,0.4392,0.0095,0.0312,0,1
0,0,0,0,0.425,0.0069,0.3578,0,0.7126,0.0085,0.1242,0,1
0,0,0,0,0,0,0.245,0,0.0193,0.0394,0,0,1
0,0,0,0,0.1643,0,0,1.14,0.0431,0.0075,0,0,1
0,0,0,0,0,0,0,1.0985,0.0792,0.0075,0,0,1
0,0,0,0.0036,0,0,0,0,0.0257,0.0001,0,0,1
0,0,0,0,0.0039,0,0,0.0106,0.0291,0,0,0,1
0,0,0,0,0,0,0,0,0.0269,0.0002,0.0016,0,1
0,0,0,0,0.6437,0.3418,0,0,0.0202,0.0235,0,0,1
0,0,0,0,0.4817,0,0,0,0.0274,0.0067,0,0,1
0,0,0,0,0,0,0,0.0778,0.0241,0,0,0,1
0,0,0,0,0,0,0,0.0852,0,0.0005,0,0,1
0.0092,0,0,0,0,0,0,0.0091,0.0008,0,0,0,1
0,0,0,0,0,0.0246,0,0.0374,0.007,0.0006,0,0,1
0,0,0,0,1.63,1.1804,2.2372,0,0.0554,0.1552,0,0,1
0,0,0,0,5.4105,0,0,0,0.2925,0.0825,0,0,1
0,0,0,0,1.8619,0,0,3.5759,0.3153,0.0597,0,0,1
0,0,0,0,0,0.0566,0,0.0258,0.0491,0.0052,0.0301,0,1
0,0,0,0,0,0.0219,0,0,0.0249,0.008,0,0,1
0,0,0,0,0.0119,0.0027,0,0,0.0443,0.0156,0,0,1
0,0,0.1832,0,1.7027,0.572,5.6501,0,0.0156,0.0426,0,0,1
0,0,0.4529,0,1.2388,0,0.05,0.5128,0.0138,0.0006,0,0,1
0,0,0.0894,0,0,0,0.2316,0.0372,0.0166,0.0006,0,0.4287,1
0,0,0,0,0,0,0.5045,0.0377,0.0237,0.0005,0.0404,0,1
0,0,0.0005,0,0,0,0,0,0,0,0.0405,0.0168,1
0.0734,0,0.0476,0,0.5052,0,2.6966,0,0.0094,0.0831,0,0,1
0.1653,0,0,0,0.1243,0,0,0.8835,0.0512,0,0,0,1
0.0256,0,0,0.0009,0.0584,0,0,0.5989,0.0549,0,0,0,1
0,0,0,0,0,0,0.017,0.0187,0,0.0014,0,0,1
0,0,0.0112,0,0,0.069,0.0252,0.0225,0.0065,0,0,0,1
