PSU,O2,temp.,SS,SRP,DOP,PP,NH4N,NO3N,DON,PN,TN/TP,Fe,SiO4Si,DOC,TPOC,Windspeedinsitu,Depth,Cyanobacteria,Chlorophyceae,Euglenophyceae,Diatomophyceae,Flagellata,picophytoplankton,Diaphanosoma brachyurum,Acartia longiremis,Acartia tonsa,Eurytemora affinis,Cyclops sp.,Nauplii Cyclopoida,Nauplii Calanoida,Filinia longiseta,Keratella cochlearis cochlearis,Keratella cochlearis f.tecta,Keratella quadrata,Basin
3.757624,9.46,18.3,52,3.5,11.7,185,0.039,0.022,0.551,0.759,6.848151848,0.0121,2.3112,7.5,8.565,3.5,3.3,2.35,3.08,0.92,0.23,0,3.2,0,2.071,0.9298,0.9251,0,0.0025,0.0257,1.3152,0.892,0.2714,0,Eastern
3.504707,9.89,19.1,50,4.4,17.5,111.3,0.02,0.025,0.123,1.181,10.12762763,0.0136,2.1157,7.86,8.52,0,3.6,6.39,2.87,0.49,0.01,0,2.42,0,0.5014,0.0378,0,0,0,0,0.0769,0.064,0.0464,0,Eastern
3.721493,9.63,17.5,62,11.7,13,117.6,0.036,0.021,0.727,0.134,6.451159522,0.039,2.1817,7.535,8.4706,4,3.2,2.05,7.47,0,0.06,0.17,2.61,0,0.0931,0,0,0.0093,0.0138,0.0006,0.0466,0.012,0.0044,0,Eastern
4.407982,9.54,18.4,55,7.4,16.2,124.7,0.023,0.024,0.566,0.895,10.16857721,0.0179,2.0537,7.282,8.702,3.5,3,6.3,5.03,0,0.11,0.1,2.49,0,0,0,0.0129,0.006,0.014,0.0155,0.0313,0.0079,0.004,0,Eastern
4.3899165,9.34,17.8,53,13.8,21.4,84.4,0.031,0.03,0.022,1.069,9.632107023,0.0201,2.0666,7.37,7.8796,4,3.7,3.77,5.69,0,0.005,0.04,1.73,0,0,0,0.0141,0,0.0093,0.0007,0.0491,0.0143,0.0019,0.0026,Eastern
4.046672,9.32,17.9,50,8.7,16,126.3,0.06,0.007,0.596,0.596,8.337748344,0.0361,2.081,7.051,8.285,4,3.5,1.87,2.64,0,0.05,0.02,1.5,0,0.0129,0,0.0145,0,0.0079,0.0009,0.0654,0.0093,0.0024,0,Eastern
3.396314,9.54,17.2,54,10.5,11.5,107.4,0.019,0.029,0.679,0.724,11.21329212,0.0216,2.1939,7.667,9.397,2,3.1,2.26,8.52,0,0.08,0.1,3.2,0,0.0101,0,0.0126,0,0.0178,0.0031,0.0002,0.0168,0.0027,0,Eastern
3.360183,9.11,17.3,51,1,75.9,55.4,0.022,0.024,0.557,0.939,11.74409749,0.0201,2.1157,7.92,8.8308,2,3.2,4,10.17,0,0.69,0.21,4.5,0,0,0,0.0062,0,0.0065,0.0092,0.0603,0.0103,0.0022,0,Eastern
4.1369995,9.6,17,61,7,13.4,128.7,0.07,0.034,0.569,0.915,10.65057009,0.0368,2.2199,8.206,9.2792,4,2.7,2.93,6.38,0,0.1,0.09,3.48,0,0.0385,0,0,0,0.0186,0.002,0.0185,0.0111,0.0018,0,Eastern
3.8479515,8.98,20.1,66,14.7,4.2,160.3,0.045,0.029,0.674,0.609,7.572544643,0.018,2.515,8.48,7.81,5,3.7,8.25,2.03,0,0.41,0.06,1.66,0,0.6266,0.8396,0.9683,0,0.0194,0.1187,0.0069,0.073,0.009,0,Eastern
4.082803,10.46,20.5,53.75,11.7,16.6,161.3,0.002,0.043,0.536,1.034,8.517932489,0.019,2.502,9.73,8.81,3,3.6,16.2,8.59,0,0.31,0.16,2.37,0,3.0674,4.8824,1.769,0,0.028,0.0814,0.0454,1.9235,0.0363,0.0179,Eastern
3.9563445,8.89,20,57.5,13.5,8.2,125,0.014,0.064,0.721,0.594,9.495569189,0.05,2.361,10.09,9.33,2.5,2.8,3.31,3.8,0.02,0.57,0,2.58,0,0.0244,0.1044,0.0184,0.0036,0.0024,0.0027,0,0.0013,0.0005,0,Eastern
3.360183,9.16,20,47.5,10.9,50.7,121.2,0.006,0.142,0.658,0.631,7.861050328,0.028,2.4,10.33,7.62,3,3.2,2.73,3.9,0,0.24,0.13,2.66,0,0.0062,0.1089,0,0.0153,0.0284,0.0047,0.0004,0.0088,0.0004,0,Eastern
4.263458,8.83,20,75,11.7,10.3,102.5,0.019,0.039,0.487,0.734,10.27309237,0.017,2.688,9.82,7.9,4,3.6,8.01,5.03,0.12,0.46,0.24,4.43,0,0.0222,0.2198,0,0.0145,0.0065,0.0155,0.002,0.0192,0.0011,0,Eastern
3.685362,9.12,20.4,77.5,15.2,20.8,84.9,0.01,0.056,0.685,0.816,12.9611249,0.031,2.666,9.3,8.7,4,3.5,7.59,4.09,0.05,0.67,0.13,4.52,0,0.0911,0.6978,0,0.0154,0.035,0.0282,0.0033,0.0344,0.0008,0,Eastern
4.191196,9.1,20.1,80,18.2,6.8,150.5,0.016,0.037,0.802,0.899,9.994301994,0.033,2.484,9.93,11.26,5,2.9,7.23,4.89,0.04,0.76,0.18,4.56,0,0.0232,0.1456,0,0.0108,0.0053,0.0028,0.0028,0.0335,0.005,0,Eastern
3.4866415,9.09,20.2,91.25,12.8,80.8,48,0.014,0.053,0.259,0.049,2.648305085,0.028,2.462,9.63,13.35,5,2.8,5.2,3.91,0.2,0.59,0.18,6.31,0,0.0057,0.1203,0,0.0138,0.023,0.0072,0.0028,0.0225,0,0,Eastern
3.3421175,9.03,19.8,116.25,8.9,59.7,123.3,0.016,0.036,0.738,0.694,7.733194372,0.029,2.433,10.09,12.91,4,2.5,6.74,3.51,0,0.12,0.18,5.02,0,0,0.245,0.0406,0.0064,0.0198,0.0186,0,0.0015,0.0009,0,Eastern
4.42,7.62,19.5,58.6,19.8,7.1,114.4,0.034,0.01,0.809,0.45,9.221514508,0.02,2.935,9.5,10.575,2.5,3.5,6.6,3.12,0.61,1.15,0.24,0.63,18.827,0,0,25.022,0,0.0929,0.2521,0,1.2405,0.1464,0,Eastern
4.33,8.88,20.3,57.14,21.4,35,153.8,0.024,0.027,0.815,0.661,7.26450999,0.028,2.752,9,10.437,2,3.6,8.21,5.28,0.3,0.83,0.38,0.74,4.356,1.7983,1.2629,2.3315,0,0.0086,0.1926,0.0175,2.4615,0.2411,0,Eastern
3.99,9.31,19.1,71.25,5.1,15.7,100.1,0.039,0.019,0.444,0.844,11.13316791,0.033,0.796,8.89,9.18,3,3.5,6.23,3.12,0.61,1.15,0.24,1.62,9.3458,2.3781,0.9661,2.002,0,0.025,0.169,0.0885,0.6511,0.0689,0,Eastern
4.02,11.86,20.7,57.5,13,10.1,80.5,0.035,0.057,0.626,0.913,15.74324324,0.054,0.924,8.45,9.4,0,3.5,7.77,5.28,0.3,0.83,0.38,1.92,16.8639,2.3626,0.6735,4.7329,0,0.0386,0.2074,0.1182,1.1943,0.1193,0.0158,Eastern
4.42,9.05,18.9,77.14,5.4,20.6,155.2,0.035,0.033,0.548,0.606,6.74392936,0.032,1.106,8,9.898,3,3.5,3.85,3.37,0,0.22,0.94,3.84,0.382,0,0.0108,0.1889,0,0.008,0.0015,0.0003,0.0089,0.001,0,Eastern
4.3,9.31,18.7,72.86,13.6,7.2,125.3,0.027,0.026,0.553,1.108,11.73169062,0.035,1.608,8.08,10.12,2,3.8,5.77,3.69,0,0.76,0.08,2.97,0.3784,0.1075,0.023,0,0,0.0056,0.0019,0.0012,0.0271,0.0038,0,Eastern
3.38,11.16,19.9,71.43,8.2,42.2,132.1,0.032,0.039,0.448,1.254,9.715068493,0.05,2.135,8.84,12.8,0,2.8,6.04,4.73,0.01,0.66,0.04,4.33,0.4685,0,0.0534,0.1692,0.0661,0.0439,0.0196,0.0124,0.0408,0.008,0,Eastern
4.32,11.2,20.2,70,7.1,14.9,190.1,0.031,0.024,0.165,1.009,5.794436587,0.03,2.077,9.3,10.46,0.2,3.5,3.16,3.99,0,0.47,0.41,4.5,0.2906,0,0.0118,0.0815,0.0064,0.0068,0.0049,0.0143,0.0172,0.0033,0.0004,Eastern
3.43,11.14,20.2,74.29,22.8,16.2,163.8,0.012,0.027,0.699,0.969,8.417159763,0.033,1.265,9.14,13.62,1.5,2.5,3.66,3.97,0.06,0.17,0.62,5.02,1.5042,0,0.0363,0.201,0,0.0182,0.004,0.0048,0.0285,0.0013,0,Eastern
3.54,12.89,20.6,64.29,21.1,9,247.6,0.03,0.05,0.755,0.938,6.384587685,0.056,1.33,8.85,14.42,0.2,1.5,2.75,2.41,0.05,0.11,0.11,4.69,1.3581,0,0,0.0556,0,0.0092,0.0127,0.0038,0.0195,0.0023,0,Eastern
3.25,11.51,20.1,75.71,41.8,27.7,150.9,0.03,0.027,0.534,1.276,8.470961887,0.032,1.34,9.46,14.48,3,2.7,3.97,2.19,0.04,0.2,0.07,5.28,1.5406,0,0.074,0.1449,0,0.0033,0.0106,0.0016,0.0222,0.0025,0,Eastern
4.42,9.88,12.5,94,14.4,6.4,172.5,0.052,0.048,0.291,1.111,7.770305225,0.023,2.917,8.13,8.1,4,3.2,8,1.73,0.61,0.21,0.29,2.39,0,2.5221,0.5114,10.2006,0,0.0149,0.0136,0.0038,0.2062,0.0108,0,Eastern
4.42,10.1,12.6,90,10.8,15.8,197.6,0.042,0.039,0.764,0.579,6.3514719,0.018,3.116,8.31,8.96,3.5,3.4,13.24,3.42,0.15,0.12,0.36,2.33,0,3.8794,1.7159,9.1197,0,0.0099,0.0345,0.008,0.3978,0.0718,0,Eastern
4.42,10.43,12.3,94,10.6,7.5,200.2,0.036,0.034,0.409,0.915,6.385707742,0.035,2.327,7.51,8.08,3,2.7,4.07,1.69,0.04,1.16,0.02,2.73,0.1149,0.1103,0.1785,0.1371,0,0,0.0119,0.0003,0.032,0.0167,0,Eastern
4.42,10.02,12.4,80,8.9,2,156.6,0.032,0.032,0.603,0.737,8.382089552,0.023,2.93,8.47,9.77,2.5,3,7.36,2.97,0.03,0.98,0.06,3.75,0.0336,0.0358,0.0493,0.03,0,0.0077,0,0,0.0196,0.0052,0,Eastern
4.42,9.7,12.6,94,28.5,0.7,139.2,0.037,0.038,0.685,0.861,9.625890736,0.022,3.167,9.22,10.02,5,3.2,5.92,5.7,0.27,3.57,0.04,6,0.0623,0.0244,0,0.0126,0,0.005,0.3201,0.0002,0.0213,0.0007,0,Eastern
3.96,9.68,12.6,104,8.2,36.3,118.5,0.044,0.035,0.555,0.815,8.889570552,0.017,2.834,8.5,9.73,6.5,3.5,3.44,5.54,0.06,1.03,0.16,3.52,0.001,0.0642,0.0664,0.0716,0,0.0048,0.0011,0.0009,0.0276,0.0046,0,Eastern
4.08,9.37,12.6,104,38.5,40.9,191.5,0.024,0.061,0.783,1.008,6.925064599,0.022,3.775,10.63,14.41,6,3.5,4.14,6.71,0,1.27,0.02,3.99,0.6418,0.1862,0.056,0.2885,0,0.0313,0.0027,0,0.0037,0.0003,0,Eastern
4.42,10.05,12.2,88,33.6,2.5,194.7,0.026,0.053,0.752,0.904,7.517331023,0.028,3.873,10.38,12.99,5,3.4,4.33,7.79,0.45,0.04,1.8,6.48,0.376,0.2587,0.1085,0.1433,0,0.002,0.0013,0,0.003,0.0004,0,Eastern
4.42,9.93,12.3,124,26.5,13.9,226.5,0.035,0.048,0.762,1.05,7.100037467,0.02,3.643,10.35,14.34,4,2.2,5.57,9.42,0.33,0.13,2.9,6.47,0.1462,0.0528,0.0736,0.0705,0,0.0043,0,0,0.0018,0.0006,0,Eastern
2.7,11.23,10.8,31,2.4,8.2,50.7,0.03,0.009,0.572,0.242,13.91517129,0.022,3.815,6.8,4.18,5,3.5,0.78,2.53,0,0.36,0.09,0.57,0,8.6925,2.763,20.8896,0,0.0224,0.3183,0,0,0.0041,0.1012,Eastern
2.4,12.25,10.9,32,9.8,0.8,113.1,0.036,0.023,0.553,0.095,5.715440582,0.024,4.227,7.03,5,6,3.5,1,1.48,0.66,0.24,0,0.69,0,17.0945,4.247,24.2074,0,0.0696,0.7486,0,0,0.0032,0.117,Eastern
2.7,12.81,11.5,34,8.7,2.2,108.4,0.021,0.038,0.481,0.502,8.734283319,0.027,3.6,7.0035,4.6725,5,2.7,0.74,2.48,0,0.09,0.13,0.43,0.0172,0,0,0.0229,0,0.052,0.002,0,0,0.003,0.0185,Eastern
2.7,12.42,11.4,33,4.9,7.1,61.2,0.023,0.022,0.423,0.459,12.66393443,0.012,3.677,6.4575,4.242,4,3.2,0.65,1.77,0.05,0.07,0.2,0.79,0,0.2933,0,0.0795,0.0499,0.038,0.0113,0,0,0,0.0229,Eastern
2.4,11.22,10.8,32,1.3,9.6,80.2,0.019,0.019,0.501,0.069,6.673984632,0.032,3.483,7.1505,3.9165,4,3.4,0.28,2.13,0,0.4,0.07,0.59,0,0.0518,0,0.2296,0.0444,0.34,0.0238,0,0,0.0025,0.0689,Eastern
2.4,12.11,10.9,29,4.5,9.3,77.8,0.028,0.027,0.575,0.398,11.22270742,0.019,3.689,7.5075,5.523,5,3.5,1.15,1.79,0,0.77,0.24,0.49,0,0,0,0.003,0.1021,0.1135,0.0036,0,0,0.01,0.0148,Eastern
2.4,12.07,10.9,34,1.9,21.1,68.1,0.016,0.038,0.551,0.453,11.61361142,0.026,3.724,7.161,5.187,2,3.4,0.82,2.34,0,0.39,0.11,0.56,0,0.0179,0,0,0.0313,0.2475,0.0214,0,0,1.2648,0.1017,Eastern
2.4,11.5,10.8,37,10.5,4.1,70,0.019,0.036,0.48,0.184,8.498817967,0.019,3.888,7.2345,4.893,2,3.4,0.42,2.27,0,0.2,0.07,0.52,0,0.0158,0,0.0848,0,0.3123,0.0259,0,0.0004,0.0036,0.0747,Eastern
2.2,11.45,10.6,32,2.1,34.3,38.1,0.026,0.032,0.48,0.434,13.04697987,0.012,3.762,7.644,4.914,3,2.1,0.59,3.15,0,0.06,0.11,1.06,0,0.102,0,0.5598,0,0.0999,0.0466,0,0,0.0012,0.0468,Eastern
3.1,10.08,17.1,70,9.7,11.4,153.5,0.101,0.056,0.222,0.803,6.76975945,0.037,1.728,7.55,6.64,4,3.2,1.54,1.41,0.11,0.24,0.19,0.94,0,0,0.6874,0.6598,0,0.0039,0.1801,0.2199,0,0.0024,0.0075,Eastern
2.8,10.98,17.5,72.5,14.6,81.6,36.4,0.027,0.038,0.179,0.602,6.380090498,0.046,2.264,7.3,7.14,5.4,3.5,1.37,2.36,0.08,0.28,0.02,0.54,0,0,0,0,0,0.0021,0.0512,0.6182,0.0017,0,0.0102,Eastern
2.8,11.15,17.9,177.5,17.3,55.9,56.6,0.046,0.04,0.477,0.591,8.890600924,0.045,1.884,6.99,9.61,6.2,2.7,1.34,1.95,0.01,1.98,0.27,2.71,0,0,0,0,0.0037,0.0086,0,0.0366,0.0001,0,0.0003,Eastern
3,10.23,17,146.25,10.1,28.6,142.1,0.033,0.037,0.508,0.374,5.265486726,0.064,2.004,7.11,7.3,5.9,3.4,1.57,2.42,0.16,0.38,0.04,2.47,0,0,0,0,0.014,0.0154,0,0.013,0,0.0004,0,Eastern
3.1,10.81,16.8,105,10.8,28.8,90.8,0.028,0.032,0.397,0.11,4.348159509,0.051,2.355,6.96,6.74,5.8,3.5,0.85,3.34,0.53,0.8,0.13,1.75,0,0,0,0,0.0077,0.0119,0,0.0205,0.0001,0,0.001,Eastern
3.1,10.48,16.9,150,15.8,58.8,36.5,0.024,0.024,0.36,0.794,10.81908191,0.057,2.01,6.81,7.53,5,3.5,1.02,3.48,0.01,0.39,1.19,2.41,0,0,0,0,0.0363,0.0417,0,0.0236,0,0,0,Eastern
2.6,10.8,17.1,117.5,24.7,58.6,20.9,0.1,0.045,0.178,0.715,9.961612284,0.054,2.111,7.78,7.48,7.9,3.6,0.85,3.65,0,1.13,1.16,2.47,0,0.0179,0,0,0,0.0254,0,0.0174,0.0003,0,0,Eastern
2.4,10.92,17,122.5,17.4,12.1,78.5,0.085,0.039,0.305,0.301,6.759259259,0.038,2.641,7.55,7.78,7.5,3.4,1.22,3.47,0.46,0.78,0.7,2.91,0,0,0,0,0.0037,0.0057,0,0.0304,0,0.0002,0.0016,Eastern
2.2,10.8,17,110,12,20.6,118.4,0.104,0.043,0.388,0.259,5.258278146,0.071,2.834,7.21,8.45,5,2.3,1.21,2.2,0,0.79,0.79,1.72,0,0,0,0,0.0044,0.0179,0,0.0206,0,0.0001,0.0018,Eastern
3.6,10.22,17.1,106.25,19,10.7,116.1,0.016,0.016,0.587,0.284,6.193415638,0.012,2.396,6.94,9.63,3,3.4,0.7,4.27,0.29,1.14,0,3.01,0,0,0.2027,0,0,0.0045,0.0299,0.2863,0.0067,0.0017,0,Eastern
3.3,10.28,16.8,122.5,14.4,15.2,149.3,0.015,0.016,0.67,0.441,6.383454444,0.027,2.568,6.6,9.4,5,3.4,0.36,4.69,0.17,1.19,0.89,2.41,0,0.3286,0.8503,0,0,0.0038,0.0217,1.0887,0.0126,0,0,Eastern
1.9,9.94,16.3,128.75,14.9,1.4,166.8,0.014,0.027,0.659,0.573,6.952484981,0.054,2.826,7.5874,12.39,6,3,2.96,2.77,0.31,4.05,0.02,3.02,0,0.0258,0,0,0.0185,0,0.0004,0.0535,0.0001,0.0005,0,Eastern
3.1,10.1,16.8,161.25,16.6,13.8,178.6,0.023,0.027,0.502,1.141,8.100478469,0.056,2.671,7.2098,12.0006,4,3.4,1.41,3.18,0.43,5.84,0.29,3.16,0,0,0,0,0.0243,0.0041,0.0005,0.0572,0.0009,0.0005,0.0003,Eastern
3.5,10.16,16.3,143.75,21.9,9.4,152.8,0.026,0.027,0.473,0.866,7.561108093,0.038,2.752,7.08,11.2218,3.5,3.2,1.07,2.8,0.07,2.2,0.09,4.19,0,0,0.0167,0.0283,0.0089,0.0054,0.0017,0.0119,0.0003,0,0,Eastern
3.3,9.99,16.4,123.75,33.3,11.3,111.3,0.048,0.026,0.652,0.541,8.12700449,0.053,2.568,6.903,11.0448,5,3.4,1.6,4.27,0.28,2.17,0.78,3.98,0,0,0,0,0.0135,0.0045,0.001,0.0092,0.0007,0.0012,0,Eastern
2.8,10.12,16,166.25,22,25.5,171.1,0.032,0.029,0.57,0.402,4.725526075,0.033,2.85,7.08,12.803,6,3,1.69,1.98,0.35,1.65,0.04,2.82,0,0,0.0502,0,0.0192,0.0108,0,0.0477,0.0002,0.0003,0,Eastern
2.3,10.18,15.8,170,21.1,8.9,143.3,0.066,0.032,0.522,0.86,8.540103866,0.056,2.752,7.375,14.1954,7,3.3,2.72,7.26,0.1,3.78,0.06,3.99,0,0,0,0,0.0128,0.0072,0.0008,0.0533,0.0049,0.0036,0.0004,Eastern
1.6,10.11,16.1,217.5,22.8,11.9,89,0.029,0.027,0.651,0.176,7.138237672,0.016,2.81,8.024,16.402,7.5,2,2.85,4.73,0.15,5.24,0.36,4.63,0,0,0,0,0.0072,0.0007,0,0.029,0.0013,0.0018,0,Eastern
3.2,9.04,20.1,90,5.1,8.2,199.6,0.013,0.06,0.561,0.986,7.6092062,0.02,2.517,8.064,9.136,6,3.7,1.46,1.19,0.005,1.49,0,1.02,0,3.251,1.0553,1.5059,0,0.0085,0.0452,0.0553,3.6975,0.0032,0.167,Eastern
3.3,9.66,20.3,58.8,9.2,12.5,146.7,0.016,0.039,0.577,0.435,6.336104513,0.022,2.452,8.1,6.38,4,3.7,1.7,3.11,0.08,1.08,0.08,0.56,0,0.8124,1.2404,3.9186,0,0.0178,0.2058,0.098,2.5408,0.0081,0.026,Eastern
3.3,9.35,20.1,102.5,7,63.8,87.9,0.012,0.047,0.539,1.158,11.06490233,0.014,2.65,7.592,9.4704,6,3.3,5.98,3.55,0.12,3.29,0.5,4.8,0,0.0146,0.0534,0,0.0516,0.0003,0.0836,0.0205,0.0344,0.0031,0,Eastern
3.2,9.14,20.2,127.5,9.7,83.6,88.7,0.02,0.129,0.564,0.962,9.203296703,0.019,2.429,7.8,7.816,7,3.5,12.22,2.05,0.03,2.57,0.7,4.8,0,0,0.0331,0.0443,0,0.0174,0.0037,0.0146,0.0222,0.0075,0,Eastern
3.3,9.15,20.1,101.3,11.1,18.4,263.6,0.024,0.056,0.69,1.199,6.717843739,0.025,2.319,7.982,8.082,7,3.5,13.34,2.82,0.2,1.26,0.08,4.8,0,0,0.0438,0.0046,0,0.006,0.0013,0.0227,0.0251,0.0051,0,Eastern
3.7,8.84,20.2,112.5,2.2,57.8,154.5,0.016,0.06,0.525,0.95,7.230769231,0.017,2.19,8.125,7.939,7.5,3.2,3.3,2.64,0.13,3.29,0.93,3.05,0,0,0.0418,0,0,0.0137,0.0057,0.0195,0.0146,0.0072,0.0006,Eastern
3.7,8.63,19.8,125,6.8,4.6,195.3,0.013,0.072,0.456,1.41,9.438800194,0.02,2.163,8.58,7.292,7,3.5,2.99,1.45,0,2.7,0.55,2.24,0,0,0.0126,0,0,0.0075,0.0029,0.0269,0.0189,0.0082,0,Eastern
3.5,9.15,19.4,170,3.3,69.1,194.5,0.02,0.049,0.488,1.341,7.111277632,0.015,2.317,8.073,10.927,7,2.2,2.21,1.76,0.26,2.74,0.83,2.99,0,0,0.0145,0,0,0.0611,0.0114,0.0277,0.0228,0.0086,0,Eastern
3.7,9.15,20.6,61.25,16.5,35.6,92.4,0.026,0.019,0.512,0.96,10.4982699,0.008,2.691,8.532,7.908,6,3.5,3.24,4.12,0.45,0.34,0.02,1.33,1.2371,0,0.7336,2.6244,0,0.0087,0.0975,0.3792,1.7303,0.0868,0,Eastern
3.5,9.03,20.1,67.5,9.2,33.1,116,0.027,0.015,0.643,0.783,9.27353127,0.014,2.656,8.28,9.984,8.5,3.9,1.24,4.94,0.06,0.96,0.02,1.9,0.1832,0,0.3396,1.8333,0,0.0043,0.0239,0.0977,1.0316,0.0574,0,Eastern
3.6,9.34,20.4,70,14.6,10.6,112.8,0.018,0.009,0.547,0.796,9.927536232,0.017,2.731,7.5,10.188,11,2.9,5.91,2.38,0.02,2.23,0.23,3.65,0,0,0,0,0,0.0095,0.0005,0.0327,0.0012,0.0237,0,Eastern
