PSU,O2,temp.,SS,SRP,DOP,PP,NH4N,NO3N,DON,PN,TN/TP,Fe,SiO4Si,DOC,TPOC,Windspeedinsitu,Depth,Cyanobacteria,Chlorophyceae,Euglenophyceae,Diatomophyceae,Flagellata,picophytoplankton,Diaphanosoma brachyurum,Acartia longiremis,Acartia tonsa,Eurytemora affinis,Cyclops sp.,Nauplii Cyclopoida,Nauplii Calanoida,Filinia longiseta,Keratella cochlearis cochlearis,Keratella cochlearis f.tecta,Keratella quadrata,Basin
3.2,9.63,20.3,66.25,10.5,20.7,144.8,0.019,0.024,0.588,0.78,8.017045455,0.008,2.866,7.572,7.752,6.5,3,5.49,2.17,0.21,0.96,0.17,5.87,0.0787,0,0,0.167,0.0143,0.0181,0.0019,0.0365,0.022,0.0075,0,Eastern
3.8,8.91,20.5,76.25,5.5,15.4,148,0.014,0.021,0.541,0.895,8.709295441,0.006,2.65,7.584,8.508,6,3.5,5.12,1.9,0.36,1.35,0.29,3.07,0.0138,0,0,0.062,0,0.0026,0.0002,0.0328,0.0173,0.0069,0,Eastern
3.4,8.98,20.3,76.25,14.4,13.2,134,0.017,0.038,0.526,0.807,8.589108911,0.022,2.913,7.62,10.356,10,3.1,4.98,2.37,0.16,0.8,0.33,2.7,0,0,0,0.004,0.014,0.0035,0,0.022,0.0188,0.0109,0,Eastern
3.7,8.42,20.5,92.5,8.2,12.1,165.8,0.024,0.024,0.553,0.996,8.581407845,0.011,2.926,7.764,11.376,10,2.8,4.71,1.49,0,1.2,0.27,3.57,0,0,0,0.0211,0.0085,0.0013,0.0005,0.0341,0.0198,0.0134,0,Eastern
3.2,8.47,20.1,92.5,1.4,20.8,181.7,0.026,0.032,0.682,0.848,7.788131437,0.018,2.777,8.004,9.36,7,2.9,6.53,2.27,0.12,1.58,0.35,3.71,0,0,0.0084,0,0.0316,0.0034,0.0021,0.0309,0.022,0.0195,0,Eastern
3.1,8.49,19.8,82.5,8.9,9.3,222.8,0.021,0.038,0.562,1.103,7.153526971,0.016,2.814,8.136,8.52,6,2.2,5.42,2.28,0.28,2.3,0.68,4.91,0.0352,0,0.0416,0.0755,0,0.0053,0.0009,0.0325,0.0142,0.0091,0,Eastern
4.4,9.96,16.2,98.75,23.3,7,136.7,0.058,0.015,0.248,1.107,8.550898204,0.022,2.796,7.8,10.608,7.7,3.4,3.79,3.5,0.88,1.37,0.43,3.44,0.0368,1.0435,0,2.1925,0,0.0035,0.045,0.0949,0.1486,0.0022,0.0065,Eastern
4.3,9.86,16.4,95,24.2,12.5,170.4,0.06,0.02,0.276,1.268,7.841622405,0.037,2.788,7.332,9.789,7.3,3.4,6.73,3.47,0.45,1.96,0.13,3.63,0.0343,0.541,0,3.1215,0,0.0053,0.0971,0.107,0.2314,0.0083,0.0072,Eastern
3.7,9.86,16.2,112.5,9.7,21.4,186.3,0.04,0.052,0.838,0.626,7.157313707,0.04,2.953,7.6705,13.63,7,3.1,8.28,2.84,0.31,1.67,0.41,5.4,0,0,0.0308,0,0.0235,0.0054,0,0.008,0.0216,0.0044,0,Eastern
4.5,9.93,16.3,117.5,23.9,30.3,191.5,0.033,0.029,0.406,1.181,6.711436711,0.05,2.904,7.018,13.0645,8.5,3.2,5.67,2.31,0.48,1.48,0.23,3.94,0.0379,0,0.027,0,0.0283,0.0036,0.0008,0.0191,0.0106,0.0034,0,Eastern
4.6,10.02,16.2,115,31.4,32.4,37.8,0.024,0.024,0.549,0.476,10.56102362,0.031,2.665,7.0905,11.4115,10.2,3.3,5.85,1.53,0.12,1.24,0.19,3.96,0,0,0.0216,0,0.0267,0.0164,0.0021,0.0617,0.0143,0.0011,0,Eastern
4.5,9.93,16.3,113.75,7.1,20.6,223.2,0.021,0.032,0.482,0.812,5.368672778,0.019,2.967,7.0615,11.7595,9.5,3.4,4.11,0.75,0.36,1.49,0.07,2.46,0,0,0.0158,0.0104,0.0159,0.0042,0.0006,0.0364,0.0113,0.0004,0.0008,Eastern
4.2,10.3,16,102.5,19.5,58.8,97.1,0.027,0.048,0.572,0.38,5.855188141,0.038,2.875,7.105,12.441,10.5,3.3,4.94,0.87,0.08,1.52,0.26,4.08,0,0,0.0181,0.0301,0.0669,0.0034,0,0.0467,0.0173,0.001,0,Eastern
4.1,10.1,16,120,14.9,9,235.6,0.034,0.028,0.682,0.688,5.518304432,0.071,2.862,7.2065,13.05,11.5,2.2,6.38,2.29,0.39,2.47,0.74,5.32,0,0,0.0142,0.0193,0.0344,0.0189,0.0011,0.0373,0.0141,0.0012,0,Eastern
3.757624,9.66,18.1,59,3.2,22.8,103.4,0.016,0.008,0.582,0.576,9.13446677,0.0368,2.2641,8.172,8.4915,1,3.4,10.8,1.64,0.29,0.23,0,2.49,0,0.0539,0.0207,0,0,0,0,0.0426,0.027,0.0186,0,Western
3.107266,10.36,19.5,46,4.3,22.3,92.7,0.026,0.021,0.693,0.689,11.9782062,0.0172,2.2623,7.848,8.832,0,2.9,4.91,2.84,0.09,2,0,3.04,0,0,0,0,0.4273,0.0459,0.0362,0.1796,0.3306,0.2084,0,Western
2.6194975,11.56,19,42,11.7,30.3,73.2,0.022,0.048,0.383,1.006,12.66493056,0.0237,2.2164,7.536,9.24,0,3,6.62,2.03,0,1.39,1.65,0.81,0,0,0,0,2.8985,0.0951,0,0.0298,0.1502,0.1343,0.0159,Western
3.2698555,9.66,17.6,59,7.3,14.9,45,0.032,0.017,0.718,0.586,20.13392857,0.0368,2.1802,7.843,7.979,5,3.2,3.37,2.67,0,0.25,0.25,2.58,0,0,0,0.0039,0,0.0027,0.0028,0.0272,0.007,0.0054,0,Western
2.709825,12.12,19.7,72,7.8,13.6,111.2,0.015,0.024,0.309,1.374,12.98642534,0.0187,2.192,8.206,8.7176,1,1.9,7.36,6.58,0,0.47,0.22,2.28,0,0,0,0.0336,0,0.0136,0.0048,0.0067,0.0046,0.0022,0,Western
3.3782485,9.42,17.8,58,16.2,37.7,60.3,0.028,0.023,0.42,0.713,10.36777583,0.0172,2.1904,7.139,8.7586,4,3.4,3.52,5.04,0,0.3,0.23,4.05,0,0,0,0.014,0,0.0098,0.0007,0.0444,0.0158,0.005,0,Western
3.2337245,9.83,20,42.5,14.3,9.3,108.1,0.014,0.091,0.716,0.642,11.10858011,0.163,2.588,10.29,7.53,7,3.5,11.71,5.2,0.01,0.29,0.21,3.14,1.4737,4.9312,5.8227,1.379,0,0.0407,0.1763,0.0141,0.6028,0.0641,0,Western
2.637563,9.37,19.9,56.25,15.4,19.8,197.1,0.004,0.025,0.838,0.441,5.630650022,0.017,2.215,10.58,8.07,4,3,3.01,5.36,0.07,0.92,0.11,1.44,0,0.6201,0,0.6945,11.0414,0.09,0.1005,0.0122,0.6068,0.1524,0,Western
2.962742,9.48,19.8,67.5,12.5,4.1,118.4,0.004,0.035,0.803,0.705,11.45925926,0.022,2.49,10.86,9.69,2,2.8,7.95,3.86,0,1.28,0.1,1.67,0,1.5798,0,0,6.2014,0.0814,0.0679,0.011,0.5757,0.1002,0,Western
3.25179,9.8,20.3,70,13.9,0.8,122.7,0.017,0.037,0.614,1.081,12.72925764,0.036,2.738,10.21,9.33,1,3,4.18,14.33,0,0.06,0.24,2.33,0,0.0466,0.1586,0,0.0089,0.0014,0.0012,0.001,0.0067,0.0002,0,Western
3.3421175,11.15,20,68.75,10.9,51,107.9,0.012,0.029,0.543,1.126,10.07067138,0.035,2.891,10.26,9.74,2,1.8,5.4,12.19,0.12,0.43,0.38,4.43,0,0.0987,0.0003,0.0349,0,0.0394,0.0122,0.0011,0.0398,0.0043,0,Western
3.4866415,9.74,20.4,52.5,11.6,39.1,135.4,0.017,0.042,0.84,0.646,8.301988178,0.025,2.629,9.82,7.73,4,3.6,7.27,5.7,0,0.46,0.07,1.77,0,0.0138,0.3833,0,0.0147,0.0042,0.0024,0.0013,0.0148,0.0018,0,Western
4.02,10.03,19.9,55.71,26.1,61.3,81,0.026,0.04,0.961,0.653,9.976247031,0.062,3.056,10,12.935,4.5,3.5,10.99,3.93,0,0.59,0.47,0.79,6.0829,0.584,0.7916,3.2915,1.3444,0.1232,0.1298,0.0157,2.8497,0.269,0,Western
3.14,8.71,20.7,58.57,20.3,46.2,99.5,0.03,0.028,0.809,0.857,10.38554217,0.033,3.104,9.87,12.39,5.5,3,4.8,5.36,0,0.42,0.32,0.44,19.2916,0.4142,0,0.3635,3.7957,0.4281,0.0768,0.0403,2.1543,0.1629,0,Western
3.23,8.8,19.8,67.14,14.7,24.1,241.1,0.024,0.045,0.975,0.892,6.916755984,0.023,3.127,9.85,13.16,10,3,7.43,6.11,0,3.04,1.48,0.95,10.3846,0.1347,0,7.1551,11.5796,0.0748,0.1169,0.0677,2.8507,0.2252,0,Western
3.68,10.42,20.6,60,7.4,9.9,106.4,0.043,0.078,0.735,0.697,12.5545675,0.038,1.947,8.2,9.14,0.2,3.5,10.53,3.93,0,0.59,0.47,2.05,20.1422,3.6364,2.5166,3.6417,1.8175,0.0714,0.4316,0.1844,2.9542,0.1891,0,Western
4.42,11,20.2,60,9.7,9.8,131.6,0.032,0.058,0.7,0.414,7.968232958,0.03,1.412,8.32,11.15,0.2,3,4.1,5.36,0,0.42,0.32,1.59,4.9807,1.3078,0,3.4523,3.982,0.2523,0.3029,0.0676,1.9896,0.251,0,Western
4.1,11.34,19.8,68.75,20.8,55.1,63,0.028,0.045,0.337,0.836,8.970482361,0.058,1.326,8.89,10.6,10,2.9,6.97,6.11,0,3.04,1.48,2.37,24.4393,0,0,4.4381,18.35,0.1278,0.1216,0.0378,1.1078,0.1385,0,Western
3.34,10.7,18.7,84.29,6,16.8,183.2,0.034,0.034,0.571,0.545,5.747572816,0.04,2.17,9,11.5,0,2,3.11,5.32,0.28,0.07,0.35,4.2,0.6407,0,0.0043,0.0365,0,0.0485,0.0032,0,0.0049,0.0025,0,Western
3.61,9.42,18.7,77.14,1.3,16.3,128.5,0.038,0.023,0.719,0.775,10.64339493,0.039,1.424,8.81,11.38,4,2.5,3.87,5.03,0,0.14,0.16,3.18,0.7653,0.0069,0.0251,0.4899,0,0.0077,0.0035,0.001,0.0049,0.0015,0,Western
3.92,10.78,19.6,72.86,44.8,21.9,152.2,0.022,0.044,0.837,1.215,9.675650982,0.033,1.378,9.06,14.72,2.5,2.7,4.14,3.51,0.1,0.65,0.06,5.33,0.9729,0,0.0021,0.0665,0.0254,0.0053,0.0025,0.0002,0.0072,0.0019,0,Western
3.68,11.35,19.5,94.29,22.2,91.1,117.8,0.047,0.085,0.588,1.266,8.593682389,0.059,1.153,8.45,12.44,3,2.8,2.24,2.57,0.04,0.89,0.07,3.7,1.2555,0,0.0016,0.0588,0.0626,0.0041,0.0026,0.0025,0.001,0.0018,0,Western
3.4,12.61,20,82.86,61.9,18.1,163.5,0.03,0.023,0.519,1.2,7.277207392,0.031,1.175,8.52,13.87,2.8,2,2.29,4.04,0,0.46,0.18,4.08,1.2788,0,0.0744,0.0002,0.0197,0.0013,0.001,0.0007,0.0041,0.0014,0,Western
2.31,12.5,20.4,54.29,88.2,34.7,120.8,0.053,0.032,0.642,1.244,8.087812885,0.031,1.613,8.67,10.17,3.5,1.9,4.78,2.48,0.06,2.55,0.01,2.72,0.275,0,0,0.0314,0,0.0047,0.0072,0.0007,0.0087,0.0012,0.0008,Western
3.86,12.85,20.4,75.71,22.2,43.9,128.1,0.036,0.044,0.476,0.909,7.54376931,0.056,1.362,9,11.76,1,2.5,5.53,2.31,0.01,0.25,0.06,3.56,0.8153,0,0.0073,0.0375,0.0584,0.0045,0.0025,0.002,0.0071,0.0012,0,Western
3.63,10.25,12.1,98,34.9,7.6,285.1,0.031,0.1,0.688,0.917,5.299145299,0.023,3.712,9.47,11.95,5,3.3,7.02,5.72,0.02,1.06,0.42,3.37,0,3.3497,0.3911,9.5913,0,0.021,0.0469,0,0.4222,0.0677,0,Western
3.99,10.15,12.3,120,32,25.5,183.8,0.031,0.082,0.775,1.139,8.400331538,0.057,3.843,10.05,13.95,6,2.7,8.97,8.91,0.05,0.93,0.99,4.72,3.0357,2.7053,0,13.2423,1.8827,0.064,0.0213,0,0.3645,0.0328,0,Western
4.42,10.14,12.2,120,13.9,15.2,171.1,0.042,0.031,0.655,1.141,9.335664336,0.029,3.483,9,13.06,6,2.6,6.78,3.68,0,0.57,0,4,5.3124,0.517,0,2.7024,2.8397,0.0299,0.0171,0,0.3507,0.0472,0,Western
3.86,9.84,12,138,12.8,34.3,213.5,0.033,0.069,0.7,1.351,8.261703761,0.016,3.579,8.68,17.42,4.5,2.7,7.1,7.27,0.04,1.84,0.08,3.37,0.922,0,0.0074,0.1347,0.0469,0.0042,0.0036,0,0.0043,0.0005,0,Western
4.23,9.77,10.9,114,7.3,45,231.6,0.034,0.054,0.741,1.047,6.607960549,0.019,3.483,9.25,14.24,4,1.5,5.96,2.36,0.08,2.17,0.02,3.39,0.1228,0,0,0.227,0.0082,0.0007,0.0014,0,0.0213,0.0032,0,Western
3.85,9.95,12.6,88,21.7,21.5,192.5,0.03,0.074,0.62,1.011,7.361052185,0.028,3.621,9.89,12.21,3,3.4,6.31,4.44,0.02,0.29,0.03,3.62,0.11,0,0,0.0817,0.0421,0.0209,0.0031,0,0.0086,0.0015,0,Western
2.1,11.87,11.4,34,1.1,10.3,93.5,0.028,0.026,0.3,0.751,10.53384175,0.01,3.737,6.5,6.09,8,3.4,0.67,1.8,0.08,0.19,0.08,0.53,0,9.5395,0.7027,39.0016,1.0252,0.3284,0.6074,0,0,0.004,0.0921,Western
2,12.33,11.7,61,4.5,5.3,103.2,0.037,0.025,0.449,0.808,11.67256637,0.014,3.815,7.1,8.18,7,2.8,0.72,1.48,0.82,0.85,0.11,0.36,0,2.6149,0,17.2671,12.1196,0.5101,0.1443,0,0,0,0.1871,Western
1.8,12.18,12,78,6.7,1.2,180.3,0.022,0.03,0.53,0.491,5.701381509,0.015,3.969,7.34,7.89,8,2.8,0.52,2.1,0.05,0.8,0.02,0.42,0,2.8573,0,27.4746,19.2179,1.952,0.2208,0,0,0.0073,0.8038,Western
2.6,12.28,11.3,40,5.7,8.1,75.6,0.02,0.023,0.483,0.498,11.4541387,0.02,3.15,7.6125,4.0215,7,3.1,0.44,1.94,0,0.34,0.05,0.62,0,3.6643,0,0.0745,0.0893,0.0708,0.0178,0,0,0.006,0.0106,Western
2.3,11.89,11.3,43,7.5,9,150.2,0.025,0.022,0.429,0.536,6.070785843,0.014,3.539,7.9485,6.279,5,1.8,0.73,2.41,0,0.38,0.1,0.81,0,0,0,0.0283,0,0.4392,0.0095,0,0,0.0068,0.091,Western
2.6,12.6,11.6,34,2.2,4.9,75.9,0.028,0.033,0.496,0.562,13.48192771,0.016,3.654,7.7805,4.452,6,3.4,0.57,1.21,0,0.09,0,0.72,0,0.425,0.0069,0.3578,0,0.7126,0.0085,0,0,0.0095,0.029,Western
2.2,11.2,17.8,127.5,8.2,61.8,58,0.031,0.038,0.724,0.054,6.6171875,0.057,1.535,7.87,8.06,5.3,3.3,0.49,3.17,0.22,0.31,0.08,1.12,0,0,0,0.245,0,0.0193,0.0394,1.3221,0.0051,0,0.1065,Western
1.8,11.2,18.1,111.25,12,35.2,94.1,0.037,0.036,0.295,0.679,7.409766454,0.056,2.204,8.29,9.27,7.9,2.8,0.3,3.62,0.33,0.32,0.04,0.79,0,0.1643,0,0,1.14,0.0431,0.0075,1.1215,0.0097,0,0.0741,Western
1.5,10.99,18.2,113.75,13.5,26.3,96.3,0.023,0.03,0.025,0.079,1.153563556,0.039,2.173,8.62,9.73,7.8,2.7,0.09,3.81,0.28,0.1,0.05,0.46,0,0,0,0,1.0985,0.0792,0.0075,1.5091,0.0184,0,0.1928,Western
2.4,11.11,17.8,90,20.1,13.3,110.8,0.027,0.047,0.495,0.05,4.292649098,0.052,2.101,7.3,8.7,6.7,3.1,0.98,5,0.04,1.4,0.52,2.8,0,0,0,0,0,0.0257,0.0001,0.0717,0.0009,0.0008,0.0183,Western
1.8,10.88,17.1,120,12.7,23.4,131.4,0.015,0.035,0.427,0.478,5.701492537,0.06,1.684,8.4,8.78,4.9,1.9,0.59,3.43,0.07,1.38,0.6,2.56,0,0.0039,0,0,0.0106,0.0291,0,0.0125,0.001,0.0001,0.0013,Western
2.6,10.96,17.5,156.25,12.8,16.3,78.9,0.047,0.041,0.514,0.492,10.12962963,0.05,1.763,7.27,7.01,6.8,3.4,0.62,2.62,0.25,0.42,0.05,2.93,0,0,0,0,0,0.0269,0.0002,0.0226,0.0001,0,0.0007,Western
3.6,10.62,16.9,117.5,41,8.9,141,0.106,0.015,0.554,0.309,5.154531168,0.002,2.517,6.48,9.54,2.5,3.5,0.37,2.11,0.78,0.78,0.34,1.46,0,0.6437,0.3418,0,0,0.0202,0.0235,0.5139,0.0259,0,0,Western
3.2,10.74,16.9,126.25,31.2,5.8,172.6,0.01,0.019,0.728,0.667,6.79389313,0.032,2.9,7.4081,10.7319,3,2.7,0.35,4.71,0.59,0.93,1.26,1.54,0,0.4817,0,0,0,0.0274,0.0067,0.7671,0.0082,0,0,Western
2.4,10.69,16.8,132.5,23,12.3,135.5,0.035,0.02,0.71,0.841,9.402810304,0.026,2.766,7.714,12.236,5,2.9,1.63,4.69,0.37,0.88,0.55,1.61,0,0,0,0,0.0778,0.0241,0,1.541,0.0101,0.0028,0,Western
2.2,11.33,17.2,108.75,19.8,3.5,123.4,0.01,0.026,0.704,0.416,7.880027267,0.131,2.958,8.142,9.9356,5,3.3,1.4,4.05,0.14,2.74,0.7,3.68,0,0,0,0,0.0852,0,0.0005,0.048,0.0008,0,0,Western
1.4,9.79,16.5,142.5,28.7,6.5,251.1,0.019,0.026,0.743,1.129,6.695773664,0.059,2.748,7.965,13.865,6,2,2.06,4.49,0.06,5.33,0.07,2.09,0,0,0,0,0.0091,0.0008,0,0.0272,0.0087,0.0112,0,Western
3.3,10.71,17.1,102.5,21.7,1.8,134.6,0.02,0.024,0.365,0.706,7.052498419,0.053,2.512,6.8912,9.4282,4.5,3.4,1.38,4.41,0.28,1.81,0.17,3.86,0,0,0.0246,0,0.0374,0.007,0.0006,0.0357,0.0009,0,0,Western
3.7,10,20.4,71.3,10.9,1.5,209.1,0.053,0.07,0.613,0.777,6.830699774,0.02,2.286,8.268,9.005,3.5,3.5,2.47,5.35,2.39,1.39,0.14,1.39,0,1.63,1.1804,2.2372,0,0.0554,0.1552,0.1173,5.3111,0.0062,0.0068,Western
3.4,9.68,20.5,81.3,7,23.7,179.2,0.025,0.04,0.616,0.402,5.159599809,0.027,2.438,8.064,7.4955,3,2.9,1.45,3.64,0.05,1.56,0.16,0.58,0,5.4105,0,0,0,0.2925,0.0825,0.1441,0.384,0.041,0.0483,Western
1.8,10.35,20.2,65,18.2,12.4,157.9,0.014,0.057,0.578,0.614,6.700265252,0.019,2.854,8.592,7.853,6,2.9,2.26,4.36,0.1,1.35,0.74,1.16,0,1.8619,0,0,3.5759,0.3153,0.0597,0.0276,0.3029,0.0431,0,Western
3.3,9.68,20.4,70,13,9,158.9,0.024,0.034,0.67,0.614,7.418463239,0.017,2.487,7.93,7.23,5,3.3,5.92,4.67,0.36,3.56,0.69,5.27,0,0,0.0566,0,0.0258,0.0491,0.0052,0.0205,0.0282,0.0092,0.0017,Western
3.2,9.31,19.7,193.8,4,34.2,207.2,0.015,0.05,0.649,1.201,7.803585982,0.017,2.472,8.346,8.422,8,1.8,7.78,4.22,0,10.36,1.2,5.49,0,0,0.0219,0,0,0.0249,0.008,0.0173,0.0134,0.005,0,Western
3.6,9.54,20.4,93.8,8.2,6.2,191.7,0.013,0.065,0.51,0.883,7.137311984,0.023,2.229,7.891,9.133,5,3.6,4.48,3.2,0.003,3.43,0.2,4.8,0,0.0119,0.0027,0,0,0.0443,0.0156,0.0247,0.0245,0.0082,0.0014,Western
3.1,9.36,20.3,80,1.6,17.6,135.3,0.019,0.018,0.757,0.967,11.39805825,0.015,2.904,8.28,7.98,9,3,3.12,3.73,0.11,1.4,0.52,1.78,0.1832,1.7027,0.572,5.6501,0,0.0156,0.0426,0.1947,1.1116,0.0533,0,Western
2.3,9.3,19.8,80,41.8,59.6,128.3,0.011,0.023,0.77,1.147,8.493687418,0.019,3.349,9.6,9.636,5,2.4,6.07,3.4,0,0.46,0.86,1.21,0.4529,1.2388,0,0.05,0.5128,0.0138,0.0006,0.1645,0.129,0.0158,0.0152,Western
2.5,8.49,20,103.75,4.4,41.2,174.3,0.018,0.023,0.85,1.229,9.640745794,0.01,2.675,9.144,9.696,10,2,9.74,6.76,0,3.95,0.48,5.26,0.0894,0,0,0.2316,0.0372,0.0166,0.0006,0.035,0.0797,0.0032,0,Western
3.2,8.5,20.1,71.25,11.7,14.1,146.7,0.013,0.029,0.652,0.869,9.060869565,0.023,2.887,7.692,9.732,6.5,1.7,3.23,1.9,0.05,2,0.41,2.23,0,0,0,0.5045,0.0377,0.0237,0.0005,0.0634,0.0326,0.013,0.0004,Western
3.3,9.94,20.3,88.75,6.5,43.7,80.2,0.011,0.027,0.756,0.771,12.00153374,0.016,2.748,7.56,9.552,9,3.4,4.42,1.79,0,1.27,0.15,2.52,0.0005,0,0,0,0,0,0,0.0195,0.0026,0.0077,0,Western
4.3,9.79,16.4,113.75,18.1,5.2,150,0.048,0.018,0.519,1.037,9.35949221,0.036,2.838,7.41,12.298,6.7,3.2,6.27,1.76,0.12,0.49,0.31,3.51,0.0476,0.5052,0,2.6966,0,0.0094,0.0831,0.1651,0.141,0.001,0.0049,Western
3.9,9.8,16.4,112.5,26.1,4.6,143.4,0.037,0.029,0.706,0.933,9.793222286,0.091,2.935,8.099,10.322,7.6,2.6,4.74,0.62,0.49,1.65,0.79,3.36,0,0.1243,0,0,0.8835,0.0512,0,0.055,0.0569,0.0016,0.0066,Western
3.3,9.82,16.1,93.75,21.7,36.8,125,0.035,0.026,0.877,0.971,10.40326975,0.065,3.192,8.619,12.051,8.2,2.4,4.25,2.49,0.17,1.67,0.52,3.41,0,0.0584,0,0,0.5989,0.0549,0,0.2819,0.0941,0.0016,0.0242,Western
3.1,10.58,16.1,103.75,50.2,19.2,136.1,0.032,0.029,0.835,0.982,9.138686131,0.012,3.256,8.2215,10.875,11,1.8,6.09,3.54,0.63,5.18,0.79,6.01,0,0,0,0.017,0.0187,0,0.0014,0.0127,0.0188,0.0033,0.0018,Western
4.2,9.9,16.3,111.25,14.3,5.6,141.1,0.033,0.05,0.698,1.143,11.95031056,0.024,2.72,7.25,11.832,7.9,3.3,6.71,2.04,0.62,1.47,0.22,6.26,0.0112,0,0.069,0.0252,0.0225,0.0065,0,0.0098,0.0087,0.0097,0,Western
